,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
270,Bronx,Mount Hope,40.84884160724665,-73.90829930881988,2.0,Pizza Place,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
271,Manhattan,Sutton Place,40.76028033131374,-73.96355614094303,4.0,Wings Joint,Sushi Restaurant,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
272,Queens,Hunters Point,40.743414090073536,-73.95386782130745,4.0,Deli / Bodega,Donut Shop,Thai Restaurant,Mexican Restaurant,Food Truck,Pizza Place,Japanese Restaurant,Greek Restaurant,Café,Burger Joint
273,Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,4.0,Steakhouse,Deli / Bodega,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
275,Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,4.0,Mexican Restaurant,New American Restaurant,Wings Joint,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
276,Manhattan,Flatiron,40.739673047638426,-73.9909471052826,0.0,Thai Restaurant,Café,Food Truck,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
277,Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682,2.0,Pizza Place,Bistro,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
278,Queens,Blissville,40.73725071694497,-73.93244235260178,4.0,Donut Shop,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
279,Brooklyn,Fulton Ferry,40.70328109093014,-73.99550751888415,0.0,Food Truck,American Restaurant,New American Restaurant,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
280,Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393,0.0,American Restaurant,Café,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
281,Brooklyn,Weeksville,40.67503986503237,-73.93053108817338,1.0,Caribbean Restaurant,Chinese Restaurant,Wings Joint,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
282,Brooklyn,Broadway Junction,40.67786104769531,-73.90331684852599,4.0,Mexican Restaurant,Sandwich Place,Food Stand,Food,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
283,Brooklyn,Dumbo,40.70317632822692,-73.9887528074504,4.0,Deli / Bodega,Pizza Place,German Restaurant,Restaurant,Bagel Shop,Taco Place,Italian Restaurant,Japanese Restaurant,Food Truck,Food Court
284,Staten Island,Manor Heights,40.60180957631444,-74.12059399718001,4.0,Donut Shop,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
285,Staten Island,Willowbrook,40.60370692627371,-74.13208447484298,1.0,Deli / Bodega,Chinese Restaurant,Pizza Place,Bagel Shop,Food Court,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
286,Staten Island,Sandy Ground,40.541139922091766,-74.21776636068567,4.0,Fish & Chips Shop,Wings Joint,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Food,Food Stand
288,Queens,Roxbury,40.56737588957032,-73.89213760232822,3.0,Deli / Bodega,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
289,Brooklyn,Homecrest,40.598525095137255,-73.95918459428702,1.0,Chinese Restaurant,Asian Restaurant,Vietnamese Restaurant,Mexican Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
291,Staten Island,Prince's Bay,40.52626406734812,-74.20152556457658,4.0,Pizza Place,Chinese Restaurant,Italian Restaurant,Bagel Shop,Sushi Restaurant,Wings Joint,Food Court,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant
298,Bronx,Allerton,40.86578787802982,-73.85931863221647,4.0,Deli / Bodega,Donut Shop,Food,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food Stand
300,Brooklyn,Erasmus,40.64692606658579,-73.94817709920184,4.0,Caribbean Restaurant,Bakery,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
304,Queens,Queensbridge,40.756091297094706,-73.94563070334091,3.0,Deli / Bodega,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
