,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
122,Manhattan,Soho,40.72218384131794,-74.00065666959759,4.0,Italian Restaurant,Wings Joint,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
123,Manhattan,West Village,40.73443393572434,-74.00617998126812,1.0,Restaurant,Chinese Restaurant,Tex-Mex Restaurant,Filipino Restaurant,Café,Food,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant
125,Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332,0.0,Food Truck,Burger Joint,Sandwich Place,Café,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
126,Manhattan,Gramercy,40.737209832715,-73.98137594833541,4.0,Deli / Bodega,Diner,Donut Shop,Thai Restaurant,Taco Place,Food,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant
127,Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,4.0,French Restaurant,Fried Chicken Joint,Bakery,Cafeteria,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant
128,Manhattan,Financial District,40.70710710727048,-74.0106654452127,2.0,Pizza Place,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
130,Queens,Woodside,40.74634908860222,-73.90184166838284,4.0,Bakery,Mexican Restaurant,Fast Food Restaurant,Latin American Restaurant,Wings Joint,Dumpling Restaurant,Falafel Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
133,Queens,Howard Beach,40.65422527738487,-73.8381376460028,4.0,Italian Restaurant,Chinese Restaurant,Tapas Restaurant,Bagel Shop,Fast Food Restaurant,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Filipino Restaurant
136,Queens,Kew Gardens,40.7051790354148,-73.82981905825703,4.0,Latin American Restaurant,Wings Joint,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
138,Queens,Flushing,40.76445419697846,-73.83177300329582,4.0,Chinese Restaurant,Korean Restaurant,Ramen Restaurant,Asian Restaurant,BBQ Joint,Food,Malay Restaurant,Food Court,Falafel Restaurant,Fast Food Restaurant
139,Queens,Long Island City,40.75021734610528,-73.93920223915505,4.0,Deli / Bodega,Café,Mexican Restaurant,Pizza Place,Donut Shop,Indian Restaurant,Mediterranean Restaurant,Fast Food Restaurant,Dumpling Restaurant,Restaurant
140,Queens,Sunnyside,40.74017628351924,-73.92691617561577,3.0,Deli / Bodega,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
141,Queens,East Elmhurst,40.76407323883091,-73.86704147658772,4.0,Restaurant,Food Court,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
144,Queens,Glendale,40.70276242967838,-73.87074167435605,1.0,Chinese Restaurant,Deli / Bodega,Pizza Place,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
145,Queens,Rego Park,40.72897409480735,-73.8578268690537,4.0,Indian Restaurant,Japanese Restaurant,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
147,Queens,Ozone Park,40.680708468265415,-73.84320266173447,2.0,Pizza Place,Chinese Restaurant,Spanish Restaurant,Wings Joint,Diner,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
158,Queens,Fresh Meadows,40.7343944653313,-73.78271337003264,1.0,Chinese Restaurant,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
160,Queens,Jamaica Center,40.70465736068717,-73.79690165888289,2.0,Pizza Place,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
170,Queens,Far Rockaway,40.603134432500894,-73.75497968043872,1.0,Chinese Restaurant,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
173,Queens,Steinway,40.775923015642896,-73.90228960391673,4.0,Greek Restaurant,Sushi Restaurant,Middle Eastern Restaurant,Wings Joint,Food,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant
176,Queens,Edgemere,40.595641807368494,-73.77613282391705,4.0,Asian Restaurant,Wings Joint,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
178,Queens,Rockaway Beach,40.582801696845586,-73.82236121088751,4.0,New American Restaurant,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Stand
180,Queens,Murray Hill,40.764126122614066,-73.81276269135866,4.0,Korean Restaurant,Burger Joint,Bakery,Food Truck,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
